Date: 31.08.2023 22:32:34, score: null - null
Date: 31.08.2023 22:32:53, score: 3 - 2
Date: 31.08.2023 22:45:53, score: null - null
Date: 31.08.2023 22:46:30, score: null - null
Date: 31.08.2023 22:46:35, score: null - null
Date: 31.08.2023 22:46:54, score: null - null
Date: 31.08.2023 22:50:26, score: null - null
Date: 31.08.2023 22:50:28, score: null - null
Date: 31.08.2023 22:50:37, score: null - null
Date: 31.08.2023 22:50:59, score: null - 7
Date: 03.09.2023 14:43:32, score: null - null
Date: 03.09.2023 17:27:01, score: null - null
Date: 03.09.2023 17:27:03, score: null - null
Date: 03.09.2023 17:27:33, score: null - null
Date: 03.09.2023 17:28:13, score: null - 6
Date: 03.09.2023 17:28:34, score: 3 - 1
Date: 03.09.2023 17:41:09, score: 4 - 3
Date: 03.09.2023 18:50:10, score: null - null
Date: 03.09.2023 18:53:52, score: null - null
Date: 03.09.2023 18:54:51, score: null - null
Date: 03.09.2023 18:55:22, score: null - null
Date: 03.09.2023 18:56:14, score: null - null
Date: 03.09.2023 18:56:19, score: null - null
Date: 03.09.2023 18:58:08, score: null - null
Date: 03.09.2023 19:01:37, score: null - null
Date: 03.09.2023 19:01:54, score: null - null
Date: 03.09.2023 19:02:09, score: null - null
Date: 03.09.2023 19:04:47, score: 4 - 10
Date: 03.09.2023 19:05:16, score: 4 - 1
Date: 03.09.2023 23:09:18, score: null - 17
Date: 03.09.2023 23:18:15, score: 1 - null
Date: 03.09.2023 23:19:58, score: null - null
Date: 03.09.2023 23:21:46, score: null - null
Date: 03.09.2023 23:22:57, score: 21 - null
Date: 03.09.2023 23:24:35, score: null - null
Date: 03.09.2023 23:28:26, score: null - null
Date: 03.09.2023 23:28:42, score: 1 - null
Date: 03.09.2023 23:29:04, score: 7 - null
Date: 03.09.2023 23:30:08, score: 14 - null
Date: 03.09.2023 23:32:08, score: 23 - null
Date: 03.09.2023 23:32:36, score: null - null
Date: 03.09.2023 23:34:42, score: 39 - null
Date: 03.09.2023 23:41:38, score: null - null
Date: 08.09.2023 0:05:14, score: 0 - 0
Date: 08.09.2023 0:05:28, score: null - null
Date: 08.09.2023 0:05:43, score: 2 - null
Date: 08.09.2023 0:06:04, score: null - null
Date: 08.09.2023 0:06:34, score: 1 - null
Date: 08.09.2023 0:06:37, score: null - null
Date: 08.09.2023 0:06:39, score: null | null
Date: 08.09.2023 0:07:27, score: null | null
Date: 08.09.2023 0:07:44, score: 3 | null
Date: 08.09.2023 0:08:01, score: null | 1
Date: 08.09.2023 10:58:05, score: 28 | 1
Date: 08.09.2023 10:59:03, score: null | null
Date: 08.09.2023 10:59:07, score: null | null
Date: 08.09.2023 10:59:10, score: null | null
Date: 08.09.2023 10:59:11, score: null | null
Date: 08.09.2023 11:01:01, score: 5 | 3
Date: 08.09.2023 11:18:45, score: null | null
Date: 08.09.2023 11:33:47, score: null | null
Date: 08.09.2023 11:34:23, score: null | null
Date: 08.09.2023 11:37:55, score: null | null
Date: 08.09.2023 11:54:58, score: null | null
Date: 08.09.2023 11:55:07, score: null | null
Date: 08.09.2023 11:55:26, score: null | null
Date: 08.09.2023 11:55:57, score: null | null
Date: 08.09.2023 11:56:21, score: null | null
Date: 08.09.2023 11:57:23, score: null | null
Date: 08.09.2023 15:54:01, score: 15 | null
Date: 08.09.2023 15:56:29, score: null | null
Date: 08.09.2023 15:56:41, score: null | null
Date: 08.09.2023 15:56:42, score: null | null
Date: 08.09.2023 16:00:16, score: 2 | 32
Date: 08.09.2023 16:02:06, score: 10 | 20
Date: 08.09.2023 23:14:38, score: null | 23
